24/11/2014,2.37,3000,2289,1.03,0.0088,6.78,32.9,396,1116,1186,48.19,516,7.61,23,12,4
25/11/2014,3.37,4200,2325,1.45,0.0101,6.74,32.6,307,1068,1046,55.01,320,7.63,30,11,1
26/11/2014,4.27,5280,2345,1.82,0.0142,6.64,33.9,415,1038,774,66.99,238,7.66,32,15,2
27/11/2014,5.37,6480,2403,2.23,0.0192,6.74,33.4,379,1194,847,64.75,208,7.68,32,12,6
28/11/2014,7.17,8880,2343,3.06,0.0245,6.58,32.1,401,1116,882,62.36,269,7.58,30,9,-1
29/11/2014,9.78,11760,2412,4.06,0.045,6.69,32.8,561,1122,987,59.08,274,7.54,32,10,4
30/11/2014,9.02,12000,2179,4.14,0.0401,6.84,31.5,293,1068,981,54.98,284,7.53,31,8,-7
01/12/2014,9.6,13200,2108,4.55,0.0514,6.91,30,413,960,874,58.54,304,7.55,29,0,-8
02/12/2014,9.06,12000,2190,4.14,0.0468,6.94,29,332,942,868,60.37,288,7.52,30,2,-7
03/12/2014,8.09,10800,2173,3.72,0.0354,6.71,31,304,1110,967,55.5,312,7.56,30,2,-8
04/12/2014,8.34,10800,2239,3.72,0.0365,6.77,30.7,193,1044,804,64.09,244,7.55,29,2,-8
05/12/2014,7.78,10800,2088,3.72,0.0354,6.72,31,356,1056,736,64.75,240,7.54,30,3,-8
06/12/2014,6.83,10800,1835,3.72,0.0358,6.665,31,253,996,667,63.65,216,7.49,30,6,-4
07/12/2014,8.16,10800,2191,3.72,0.0339,6.62,32,312,1074,769,64.9,192,7.61,31,6,-4
08/12/2014,8.32,10800,2233,3.72,0.035,6.7,32,331,1056,706,68.38,132,7.52,30,5,-4
09/12/2014,9.48,13200,2082,4.55,0.041,6.56,33,280,900,584,71.95,54,7.55,32,5,0
10/12/2014,11.69,16800,2018,5.79,0.0458,6.75,31,346,888,707,64.97,42,7.45,31,7,-4
11/12/2014,12.74,16800,2199,5.79,0.055,6.74,30.6,259,876,787,64.21,36,7.38,29,2,-7
12/12/2014,13.39,18000,2158,6.21,0.0583,6.69,32,274,894,758,64.87,54,7.58,31,3,-8
13/12/2014,13.91,19200,2101,6.62,0.0596,6.66,32,282,858,778,62.97,66,7.55,31,5,-6
14/12/2014,12.56,19200,1897,6.62,0.0602,6.83,32,209,804,655,65.47,54,7.57,30,6,-2
15/12/2014,11.18,18000,1801,6.21,0.0559,6.84,31,351,816,612,66.02,72,7.38,31,6,-7
16/12/2014,11.15,18000,1796,6.21,0.0509,6.86,29,246,768,628,65.03,66,7.58,29,0,-7
17/12/2014,11.42,19200,1725,6.62,0.0649,6.97,29,377,636,629,63.54,58,7.52,29,4,-6
18/12/2014,12.5,20400,1777,7.03,0.0661,7.01,30,265,672,675,62.01,66,7.6,29,9,-2
19/12/2014,13.2,19200,1993,6.62,0.0622,6.89,31,313,726,625,68.64,48,7.4,28,10,-6
